imageName,Equipo,Año,Precio,Precio_Oferta,Talla,Tipo,Disponible,Tipo_Region,Notas,Estado,,,,,,,,,,
Pecs,Alemania,-,"1,300",,L,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Pecs
Plovdiv,Alemania,2025-2026,960,,XL,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Plovdiv
Pokhara,Alemania,2025-2026,960,,M,,TRUE,Seleccion,Con etiqueta,,,,,,,,,,,Pokhara
Potosi,Alemania,2011,500,,L,,TRUE,Seleccion,Ozil,,,,,,,,,,,Potosi
Praga,Bologna,-,600,,XXL,,TRUE,Europa,Con etiqueta,,,,,,,,,,,Praga
Puebla,Escocia,-,300,,M,,TRUE,Seleccion,"Sin talla, posible M",,,,,,,,,,,Puebla
Pune,Real Madrid,2025-2026,960,,L,,TRUE,Europa,,,,,,,,,,,,Pune
Qingdao,Real Madrid,2025,"1,150",,XL,,TRUE,Europa,Valverde,,,,,,,,,,,Qingdao
Quetzaltenango,Mexico,2022,500,,L,,TRUE,Seleccion,,,,,,,,,,,,Quetzaltenango
Recife,Inter Miami,"2021, 2020",450,,L,,TRUE,Conmebol/Concacaf,Con etiqueta. Firmada por alguien,,,,,,,,,,,Recife
Rosario,Inter Miami,"2021, 2020",450,,L,,TRUE,Conmebol/Concacaf,Con etiqueta. Firmada por alguien,,,,,,,,,,,Rosario
Rotorua,Achuapa,2014,230,,M,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Rotorua
Salonica,Boca Juniors,-,900,,L,,TRUE,Conmebol/Concacaf,"Con etiqueta. Dos precios, 775 y 900. Dorsal Cavani",,,,,,,,,,,Salonica
Salta,Lakers,2024,750,,XL,Otros,TRUE,Otros,Bryant,,,,,,,,,,,Salta
Samarcanda,Juventus,2025-2026,950,,L,,TRUE,Europa,Con etiqueta.,,,,,,,,,,,Samarcanda
SanCristobal,Real Madrid,2021,400,,M,Otros,TRUE,Europa,Chumpa,,,,,,,,,,,SanCristobal
Sapporo,Argentina,2023,500,,L,,TRUE,Seleccion,Con etiqueta.,,,,,,,,,,,Sapporo
Shiraz,U de chile,-,450,,M,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Shiraz
Split,Argentina,2022,850,,XL,,TRUE,Seleccion,,,,,,,,,,,,Split
Stavanger,Guatemala,2011,350,,L,,TRUE,Seleccion,,,,,,,,,,,,Stavanger
Sukhumi,Argentina,"2014, 2019",300,,XL,,TRUE,Seleccion,,,,,,,,,,,,Sukhumi
Surat,Argentina,2025-2026,"1,150",,XL,,TRUE,Seleccion,Con etiqueta. Messi,,,,,,,,,,,Surat
Suva,Argentina,2018,400,,M,,TRUE,Seleccion,,,,,,,,,,,,Suva
Tallinn,Argentina,"2014, 2019",300,,XL,,TRUE,Seleccion,,,,,,,,,,,,Tallinn
Tamale,Argentina,2023,325,,XL,,TRUE,Seleccion,,,,,,,,,,,,Tamale
Tampere,Marsella,2024,600,,L,,TRUE,Europa,Con etiqueta. Manchada,,,,,,,,,,,Tampere
Taranto,Marsella,2025,600,,XL,,TRUE,Europa,con etiqueta.  ,,,,,,,,,,,Taranto
Tarija,Guatemala,2008,300,,M,,TRUE,Seleccion,Manchada,,,,,,,,,,,Tarija
Tartu,Boca Juniors,"2021, 2022",500,,L,,TRUE,Conmebol/Concacaf,,,,,,,,,,,,Tartu
Tegucigalpa,Tottenham,-,350,,L,,TRUE,Europa,Kane,,,,,,,,,,,Tegucigalpa
Temuco,Guatemala,2008,300,,S,,TRUE,Seleccion,detalles estéticos,,,,,,,,,,,Temuco
Tiflis,Guatemala,2018,250,,L,,TRUE,Seleccion,detalles estéticos,,,,,,,,,,,Tiflis
Tijuana,Guatemala,2020,300,,L,,TRUE,Seleccion,Futsal,,,,,,,,,,,Tijuana
Toledo,Francia,2022,250,,XL,,TRUE,Seleccion,,,,,,,,,,,,Toledo
Toluca,Juventus,-,700,,XL,,TRUE,Europa,CR7,,,,,,,,,,,Toluca
